120, 275
128, 280
145, 278
155, 276
164, 278
169, 283
173, 290
179, 308
189, 320
196, 322
200, 320
206, 307
210, 305
217, 305
230, 308
246, 317
256, 326
264, 337
281, 334
293, 331
321, 360
346, 389
350, 395
350, 402
345, 410
338, 419
345, 410
360, 404
376, 396
375, 414
366, 441
359, 456
340, 477
328, 484
317, 490
316, 462
311, 439
309, 427
314, 425
309, 427
311, 439
316, 462
317, 490
316, 498
312, 514
303, 529
299, 534
287, 542
279, 542
272, 540
262, 534
260, 526
248, 513
230, 501
218, 489
211, 475
207, 460
207, 445
214, 426
228, 409
243, 396
243, 396
228, 409
214, 426
207, 445
207, 460
211, 475
218, 489
230, 501
225, 502
182, 502
162, 498
144, 493
133, 499
98, 509
79, 514
66, 515
46, 515
38, 513
35, 509
37, 505
49, 497
57, 494
59, 490
59, 487
59, 485
57, 484
53, 476
49, 465
45, 449
45, 435
49, 423
55, 409
65, 396
77, 384
80, 372
50, 398
48, 406
43, 411
28, 411
20, 408
11, 400
5, 388
4, 374
7, 369
19, 362
28, 354
49, 335
60, 325
74, 315
88, 303
95, 290
103, 281
111, 276
