148, 86
124, 74
84, 48
78, 46
69, 46
60, 48
56, 54
57, 63
89, 119
90, 128
88, 136
83, 142
70, 150
43, 165
38, 170
35, 175
35, 184
42, 195
53, 209
66, 233
72, 248
76, 261
79, 264
88, 262
106, 259
120, 275
128, 280
145, 278
155, 276
164, 278
169, 283
173, 290
179, 308
189, 320
196, 322
200, 320
206, 307
210, 305
217, 305
230, 308
246, 317
256, 326
264, 337
281, 334
293, 331
308, 325
323, 315
334, 303
334, 273
344, 249
343, 241
335, 229
305, 197
297, 186
293, 172
294, 160
298, 148
302, 142
303, 133
293, 117
279, 98
293, 117
329, 62
329, 59
318, 46
314, 45
251, 74
259, 80
251, 74
237, 67
207, 61
171, 61
139, 67
124, 74
